bacterial infections and mycoses,c01
paratuberculosis,c22.688
parturient paresis,c22.695
peste-des-petits-ruminants,c22.706
"pleuropneumonia, contagious",c22.717
primate diseases,c22.735
ape diseases,c22.735.050
monkey diseases,c22.735.500
marburg virus disease,c22.735.500.500
simian acquired immunodeficiency syndrome,c22.735.500.850
monkeypox,c22.735.750
pseudorabies,c22.742
pythiosis,c22.761
rinderpest,c22.780
rodent diseases,c22.795
"ectromelia, infectious",c22.795.239
monkeypox,c22.795.600
murine acquired immunodeficiency syndrome,c22.795.650
"salmonella infections, animal",c22.812
sheep diseases,c22.836
bluetongue,c22.836.120
border disease,c22.836.160
"ecthyma, contagious",c22.836.259
louping ill,c22.836.435
nairobi sheep disease,c22.836.583
"pneumonia, progressive interstitial, of sheep",c22.836.660
"pulmonary adenomatosis, ovine",c22.836.715
scrapie,c22.836.799
swayback,c22.836.886
visna,c22.836.900
steatitis,c22.880
swine diseases,c22.905
african swine fever,c22.905.072
classical swine fever,c22.905.170
edema disease of swine,c22.905.260
"encephalomyelitis, enzootic porcine",c22.905.323
"epidermitis, exudative, of swine",c22.905.382
"gastroenteritis, transmissible, of swine",c22.905.469
"pneumonia of swine, mycoplasmal",c22.905.626
porcine postweaning multisystemic wasting syndrome,c22.905.690
porcine reproductive and respiratory syndrome,c22.905.700
swine erysipelas,c22.905.832
swine vesicular disease,c22.905.850
vesicular exanthema of swine,c22.905.927
"venereal tumors, veterinary",c22.950
vesicular stomatitis,c22.952
"wasting disease, chronic",c22.955
zoonoses,c22.969
"pathological conditions, signs and symptoms",c23
morphological and microscopic findings,c23.149
adenocarcinoma in situ,c23.149.249
atypical squamous cells of the cervix,c23.149.500
margins of excision,c23.149.625
squamous intraepithelial lesions of the cervix,c23.149.750
"pathological conditions, anatomical",c23.300
agenesis of corpus callosum,c23.300.008
airway remodeling,c23.300.017
alopecia,c23.300.035
loose anagen hair syndrome,c23.300.035.500
atrial remodeling,c23.300.052
atrophy,c23.300.070
muscular atrophy,c23.300.070.500
sarcopenia,c23.300.070.500.500
blister,c23.300.122
calculi,c23.300.175
dental calculus,c23.300.175.350
gallstones,c23.300.175.525
salivary calculi,c23.300.175.700
salivary duct calculi,c23.300.175.700.325
salivary gland calculi,c23.300.175.700.500
urinary calculi,c23.300.175.850
kidney calculi,c23.300.175.850.550
staghorn calculi,c23.300.175.850.550.500
ureteral calculi,c23.300.175.850.750
urinary bladder calculi,c23.300.175.850.875
accessory atrioventricular bundle,c23.300.190
choristoma,c23.300.250
"constriction, pathologic",c23.300.287
cysts,c23.300.306
parovarian cyst,c23.300.306.500
spermatocele,c23.300.306.750
"dilatation, pathologic",c23.300.325
diverticulum,c23.300.415
"diverticulum, colon",c23.300.415.500
"diverticulum, esophageal",c23.300.415.625
zenker diverticulum,c23.300.415.625.900
"diverticulum, stomach",c23.300.415.687
meckel diverticulum,c23.300.415.750
facial asymmetry,c23.300.505
fistula,c23.300.575
cutaneous fistula,c23.300.575.150
digestive system fistula,c23.300.575.185
biliary fistula,c23.300.575.185.150
esophageal fistula,c23.300.575.185.250
tracheoesophageal fistula,c23.300.575.185.250.725
gastric fistula,c23.300.575.185.375
intestinal fistula,c23.300.575.185.550
rectal fistula,c23.300.575.185.550.600
rectovaginal fistula,c23.300.575.185.550.600.650
pancreatic fistula,c23.300.575.185.775
oral fistula,c23.300.575.500
dental fistula,c23.300.575.500.275
oroantral fistula,c23.300.575.500.550
salivary gland fistula,c23.300.575.500.775
respiratory tract fistula,c23.300.575.687
bronchial fistula,c23.300.575.687.225
urinary fistula,c23.300.575.825
urinary bladder fistula,c23.300.575.825.250
vesicovaginal fistula,c23.300.575.825.250.775
vaginal fistula,c23.300.575.925
rectovaginal fistula,c23.300.575.925.558
vesicovaginal fistula,c23.300.575.925.816
vascular fistula,c23.300.575.950
arterio-arterial fistula,c23.300.575.950.150
bland white garland syndrome,c23.300.575.950.150.500
arteriovenous fistula,c23.300.575.950.250
carotid-cavernous sinus fistula,c23.300.575.950.250.500
hernia,c23.300.707
encephalocele,c23.300.707.186
"hernia, abdominal",c23.300.707.374
gastroschisis,c23.300.707.374.500
"hernia, femoral",c23.300.707.374.750
"hernia, inguinal",c23.300.707.374.875
"hernia, ventral",c23.300.707.374.937
"hernia, umbilical",c23.300.707.374.937.500
"hernia, diaphragmatic",c23.300.707.500
"hernias, diaphragmatic, congenital",c23.300.707.500.116
"hernia, diaphragmatic, traumatic",c23.300.707.500.233
"hernia, hiatal",c23.300.707.500.467
"hernia, obturator",c23.300.707.937
incisional hernia,c23.300.707.945
intervertebral disc displacement,c23.300.707.952
meningocele,c23.300.707.968
rectocele,c23.300.707.984
hypertrophy,c23.300.775
cardiomegaly,c23.300.775.250
"hypertrophy, left ventricular",c23.300.775.250.400
"hypertrophy, right ventricular",c23.300.775.250.401
hepatomegaly,c23.300.775.525
splenomegaly,c23.300.775.750
leg length inequality,c23.300.808
leukoplakia,c23.300.816
"leukoplakia, oral",c23.300.816.513
"leukoplakia, hairy",c23.300.816.513.500
microvascular rarefaction,c23.300.818
"nails, malformed",c23.300.820
yellow nail syndrome,c23.300.820.500
"plaque, amyloid",c23.300.821
"plaque, atherosclerotic",c23.300.823
polyps,c23.300.825
intestinal polyps,c23.300.825.411
colonic polyps,c23.300.825.411.235
nasal polyps,c23.300.825.557
prolapse,c23.300.842
pelvic organ prolapse,c23.300.842.624
cystocele,c23.300.842.624.249
rectal prolapse,c23.300.842.624.500
uterine prolapse,c23.300.842.624.750
visceral prolapse,c23.300.842.624.875
"rupture, spontaneous",c23.300.909
solitary kidney,c23.300.925
spontaneous perforation,c23.300.940
tertiary lymphoid structures,c23.300.955
torsion abnormality,c23.300.970
bone anteversion,c23.300.970.249
coxa vara,c23.300.970.249.500
bone retroversion,c23.300.970.374
coxa valga,c23.300.970.374.500
intestinal volvulus,c23.300.970.500
uterine retroversion,c23.300.970.750
vascular remodeling,c23.300.977
ventricular remodeling,c23.300.985
pathologic processes,c23.550
acantholysis,c23.550.035
"arrhythmias, cardiac",c23.550.073
"arrhythmia, sinus",c23.550.073.093
sick sinus syndrome,c23.550.073.093.249
"sinus arrest, cardiac",c23.550.073.093.500
atrial fibrillation,c23.550.073.198
atrial flutter,c23.550.073.248
bradycardia,c23.550.073.300
"cardiac complexes, premature",c23.550.073.325
atrial premature complexes,c23.550.073.325.050
ventricular premature complexes,c23.550.073.325.800
heart block,c23.550.073.425
adams-stokes syndrome,c23.550.073.425.025
atrioventricular block,c23.550.073.425.062
bundle-branch block,c23.550.073.425.100
interatrial block,c23.550.073.425.270
sick sinus syndrome,c23.550.073.425.440
sinoatrial block,c23.550.073.425.780
long qt syndrome,c23.550.073.547
andersen syndrome,c23.550.073.547.070
romano-ward syndrome,c23.550.073.547.720
parasystole,c23.550.073.670
tachycardia,c23.550.073.845
"tachycardia, paroxysmal",c23.550.073.845.695
"tachycardia, reciprocating",c23.550.073.845.787
"tachycardia, atrioventricular nodal reentry",c23.550.073.845.787.500
"tachycardia, sinoatrial nodal reentry",c23.550.073.845.787.750
"tachycardia, supraventricular",c23.550.073.845.880
"tachycardia, ectopic atrial",c23.550.073.845.880.315
"tachycardia, ectopic junctional",c23.550.073.845.880.320
"tachycardia, sinus",c23.550.073.845.880.845
"tachycardia, ventricular",c23.550.073.845.940
accelerated idioventricular rhythm,c23.550.073.845.940.349
torsades de pointes,c23.550.073.845.940.700
ventricular fibrillation,c23.550.073.922
ventricular flutter,c23.550.073.961
ascites,c23.550.081
atrial remodeling,c23.550.113
azotemia,c23.550.145
cardiotoxicity,c23.550.161
channelopathies,c23.550.177
chromosome aberrations,c23.550.210
abnormal karyotype,c23.550.210.024
xyy karyotype,c23.550.210.024.500
aneuploidy,c23.550.210.050
monosomy,c23.550.210.050.500
chromosome deletion,c23.550.210.050.500.500
tetrasomy,c23.550.210.050.625
trisomy,c23.550.210.050.750
chromosomal instability,c23.550.210.110
chromosome fragility,c23.550.210.110.180
chromosome breakage,c23.550.210.170
chromosome duplication,c23.550.210.182
tetrasomy,c23.550.210.182.249
trisomy,c23.550.210.182.500
chromosome inversion,c23.550.210.190
chromothripsis,c23.550.210.310
isochromosomes,c23.550.210.430
"micronuclei, chromosome-defective",c23.550.210.570
"nondisjunction, genetic",c23.550.210.645
uniparental disomy,c23.550.210.645.890
polyploidy,c23.550.210.702
tetraploidy,c23.550.210.702.249
triploidy,c23.550.210.702.500
ring chromosomes,c23.550.210.760
sex chromosome aberrations,c23.550.210.815
xyy karyotype,c23.550.210.815.970
"translocation, genetic",c23.550.210.870
philadelphia chromosome,c23.550.210.870.680
death,c23.550.260
asphyxia,c23.550.260.095
body remains,c23.550.260.127
brain death,c23.550.260.159
cadaver,c23.550.260.224
corpse dismemberment,c23.550.260.224.200
postmortem changes,c23.550.260.224.617
autolysis,c23.550.260.224.617.236
rigor mortis,c23.550.260.224.617.839
"death, sudden",c23.550.260.322
"death, sudden, cardiac",c23.550.260.322.250
karoshi death,c23.550.260.322.250.500
sudden infant death,c23.550.260.322.625
drowning,c23.550.260.393
embryo loss,c23.550.260.440
fetal death,c23.550.260.585
fetal resorption,c23.550.260.585.260
stillbirth,c23.550.260.585.630
infant death,c23.550.260.657
sudden infant death,c23.550.260.657.500
parental death,c23.550.260.730
maternal death,c23.550.260.730.500
perinatal death,c23.550.260.865
dehydration,c23.550.274
delayed graft function,c23.550.277
disease,c23.550.288
syndrome,c23.550.288.500
disease attributes,c23.550.291
acute disease,c23.550.291.125
asymptomatic diseases,c23.550.291.187
asymptomatic infections,c23.550.291.187.500
catastrophic illness,c23.550.291.250
chronic disease,c23.550.291.500
multiple chronic conditions,c23.550.291.500.500
noncommunicable diseases,c23.550.291.500.750
convalescence,c23.550.291.562
critical illness,c23.550.291.625
disease progression,c23.550.291.656
clinical deterioration,c23.550.291.656.350
"remission, spontaneous",c23.550.291.656.700
disease resistance,c23.550.291.671
disease susceptibility,c23.550.291.687
genetic predisposition to disease,c23.550.291.687.500
"anticipation, genetic",c23.550.291.687.500.500
diseases in twins,c23.550.291.750
emergencies,c23.550.291.781
facies,c23.550.291.812
iatrogenic disease,c23.550.291.875
cross infection,c23.550.291.875.500
healthcare-associated pneumonia,c23.550.291.875.500.500
late onset disorders,c23.550.291.883
neglected diseases,c23.550.291.890
rare diseases,c23.550.291.906
recurrence,c23.550.291.937
symptom flare up,c23.550.291.937.500
dysbiosis,c23.550.308
emphysema,c23.550.325
mediastinal emphysema,c23.550.325.250
subcutaneous emphysema,c23.550.325.500
alpha 1-antitrypsin deficiency,c23.550.325.500.500
extravasation of diagnostic and therapeutic materials,c23.550.340
injection site reaction,c23.550.340.500
femoracetabular impingement,c23.550.347
fibrosis,c23.550.355
cicatrix,c23.550.355.274
"cicatrix, hypertrophic",c23.550.355.274.505
keloid,c23.550.355.274.510
tissue adhesions,c23.550.355.274.840
nephrogenic fibrosing dermopathy,c23.550.355.550
peritoneal fibrosis,c23.550.355.625
retroperitoneal fibrosis,c23.550.355.700
frailty,c23.550.359
genomic instability,c23.550.362
chromosomal instability,c23.550.362.180
chromosome fragility,c23.550.362.180.180
microsatellite instability,c23.550.362.590
gliosis,c23.550.369
granuloma,c23.550.382
eosinophilic granuloma,c23.550.382.250
granuloma annulare,c23.550.382.375
"granuloma, foreign-body",c23.550.382.437
"granuloma, giant cell",c23.550.382.468
"granuloma, plasma cell",c23.550.382.875
"granuloma, pyogenic",c23.550.382.937
"granuloma, respiratory tract",c23.550.382.968
"granuloma, laryngeal",c23.550.382.968.500
necrobiotic xanthogranuloma,c23.550.382.984
"granulomatosis, orofacial",c23.550.384
growth disorders,c23.550.393
fetal growth retardation,c23.550.393.450
hemolysis,c23.550.403
hemorrhage,c23.550.414
"blood loss, surgical",c23.550.414.300
ecchymosis,c23.550.414.625
epistaxis,c23.550.414.712
exsanguination,c23.550.414.734
eye hemorrhage,c23.550.414.756
choroid hemorrhage,c23.550.414.756.300
hyphema,c23.550.414.756.550
retinal hemorrhage,c23.550.414.756.775
vitreous hemorrhage,c23.550.414.756.887
gastrointestinal hemorrhage,c23.550.414.788
hematemesis,c23.550.414.788.400
melena,c23.550.414.788.600
peptic ulcer hemorrhage,c23.550.414.788.700
hemarthrosis,c23.550.414.794
hematocele,c23.550.414.817
hematoma,c23.550.414.838
"hematoma, epidural, cranial",c23.550.414.838.349
"hematoma, epidural, spinal",c23.550.414.838.355
"hematoma, subdural",c23.550.414.838.700
"hematoma, subdural, acute",c23.550.414.838.700.100
"hematoma, subdural, chronic",c23.550.414.838.700.200
"hematoma, subdural, intracranial",c23.550.414.838.700.400
"hematoma, subdural, spinal",c23.550.414.838.700.700
hematuria,c23.550.414.849
hemobilia,c23.550.414.864
hemoperitoneum,c23.550.414.888
hemoptysis,c23.550.414.896
hemothorax,c23.550.414.904
hemopneumothorax,c23.550.414.904.500
intracranial hemorrhages,c23.550.414.913
cerebral hemorrhage,c23.550.414.913.100
basal ganglia hemorrhage,c23.550.414.913.100.200
putaminal hemorrhage,c23.550.414.913.100.200.500
cerebral intraventricular hemorrhage,c23.550.414.913.100.600
"hematoma, epidural, cranial",c23.550.414.913.400
"hematoma, subdural",c23.550.414.913.700
"hematoma, subdural, acute",c23.550.414.913.700.100
"hematoma, subdural, chronic",c23.550.414.913.700.200
"hematoma, subdural, intracranial",c23.550.414.913.700.400
subarachnoid hemorrhage,c23.550.414.913.850
oral hemorrhage,c23.550.414.922
gingival hemorrhage,c23.550.414.922.500
postoperative hemorrhage,c23.550.414.941
endoleak,c23.550.414.941.500
purpura,c23.550.414.950
purpura fulminans,c23.550.414.950.230
"purpura, hyperglobulinemic",c23.550.414.950.250
"purpura, schoenlein-henoch",c23.550.414.950.375
"purpura, thrombocytopenic",c23.550.414.950.687
"purpura, thrombocytopenic, idiopathic",c23.550.414.950.687.600
"purpura, thrombotic thrombocytopenic",c23.550.414.950.687.680
waterhouse-friderichsen syndrome,c23.550.414.950.843
retrobulbar hemorrhage,c23.550.414.960
"shock, hemorrhagic",c23.550.414.980
uterine hemorrhage,c23.550.414.993
menorrhagia,c23.550.414.993.350
metrorrhagia,c23.550.414.993.700
postpartum hemorrhage,c23.550.414.993.850
hyperammonemia,c23.550.421
hyperamylasemia,c23.550.425
hyperbilirubinemia,c23.550.429
"hyperbilirubinemia, neonatal",c23.550.429.249
"jaundice, neonatal",c23.550.429.249.500
jaundice,c23.550.429.500
"jaundice, obstructive",c23.550.429.500.755
kernicterus,c23.550.429.750
hyperplasia,c23.550.444
hyperuricemia,c23.550.449
hypovolemia,c23.550.455
inflammation,c23.550.470
acute-phase reaction,c23.550.470.099
foreign-body reaction,c23.550.470.251
implant capsular contracture,c23.550.470.251.500
neurogenic inflammation,c23.550.470.448
seroma,c23.550.470.640
serositis,c23.550.470.646
suppuration,c23.550.470.756
abscess,c23.550.470.756.100
cellulitis,c23.550.470.756.200
empyema,c23.550.470.756.305
"empyema, subdural",c23.550.470.756.305.500
systemic inflammatory response syndrome,c23.550.470.790
sepsis,c23.550.470.790.500
bacteremia,c23.550.470.790.500.100
endotoxemia,c23.550.470.790.500.100.275
hemorrhagic septicemia,c23.550.470.790.500.100.375
fungemia,c23.550.470.790.500.360
candidemia,c23.550.470.790.500.360.150
neonatal sepsis,c23.550.470.790.500.470
parasitemia,c23.550.470.790.500.580
"shock, septic",c23.550.470.790.500.800
viremia,c23.550.470.790.500.900
"hemorrhagic septicemia, viral",c23.550.470.790.500.900.400
intraoperative complications,c23.550.505
"blood loss, surgical",c23.550.505.300
intraoperative awareness,c23.550.505.400
malignant hyperthermia,c23.550.505.700
ischemia,c23.550.513
infarction,c23.550.513.355
no-reflow phenomenon,c23.550.513.677
leukoaraiosis,c23.550.522
leukocytosis,c23.550.526
lithiasis,c23.550.537
long term adverse effects,c23.550.543
malacoplakia,c23.550.548
menstruation disturbances,c23.550.568
amenorrhea,c23.550.568.500
dysmenorrhea,c23.550.568.750
menorrhagia,c23.550.568.875
oligomenorrhea,c23.550.568.937
premenstrual syndrome,c23.550.568.968
premenstrual dysphoric disorder,c23.550.568.968.500
metaplasia,c23.550.589
"neovascularization, pathologic",c23.550.589.500
choroidal neovascularization,c23.550.589.500.145
retinal neovascularization,c23.550.589.500.725
muscle weakness,c23.550.695
necrosis,c23.550.717
dental pulp necrosis,c23.550.717.182
"dna degradation, necrotic",c23.550.717.273
fat necrosis,c23.550.717.365
gangrene,c23.550.717.427
infarction,c23.550.717.489
osteonecrosis,c23.550.717.732
bisphosphonate-associated osteonecrosis of the jaw,c23.550.717.732.183
femur head necrosis,c23.550.717.732.368
neointima,c23.550.722
neoplastic processes,c23.550.727
anaplasia,c23.550.727.045
carcinogenesis,c23.550.727.098
"cell transformation, neoplastic",c23.550.727.098.500
blast crisis,c23.550.727.098.500.110
"cell transformation, viral",c23.550.727.098.500.160
cocarcinogenesis,c23.550.727.098.750
neoplasm invasiveness,c23.550.727.645
leukemic infiltration,c23.550.727.645.500
neoplasm metastasis,c23.550.727.650
lymphatic metastasis,c23.550.727.650.560
neoplasm micrometastasis,c23.550.727.650.695
neoplasm seeding,c23.550.727.650.830
"neoplasms, unknown primary",c23.550.727.650.895
"neoplastic cells, circulating",c23.550.727.650.900
"neoplasm recurrence, local",c23.550.727.655
"neoplasm regression, spontaneous",c23.550.727.670
"neoplasm, residual",c23.550.727.700
oncogene addiction,c23.550.727.850
nerve degeneration,c23.550.737
retrograde degeneration,c23.550.737.500
subacute combined degeneration,c23.550.737.625
wallerian degeneration,c23.550.737.750
ochronosis,c23.550.744
"ossification, heterotopic",c23.550.751
ossification of posterior longitudinal ligament,c23.550.751.500
pigmentation disorders,c23.550.755
polydipsia,c23.550.759
"polydipsia, psychogenic",c23.550.759.500
postoperative complications,c23.550.767
afferent loop syndrome,c23.550.767.050
anastomotic leak,c23.550.767.071
breast cancer lymphedema,c23.550.767.082
corneal endothelial cell loss,c23.550.767.093
coronary-subclavian steal syndrome,c23.550.767.115
delayed emergence from anesthesia,c23.550.767.137
emergence delirium,c23.550.767.181
failed back surgery syndrome,c23.550.767.225
"graft occlusion, vascular",c23.550.767.400
incisional hernia,c23.550.767.500
malignant hyperthermia,c23.550.767.600
"pain, postoperative",c23.550.767.700
phantom limb,c23.550.767.700.500
postcholecystectomy syndrome,c23.550.767.775
postgastrectomy syndromes,c23.550.767.812
dumping syndrome,c23.550.767.812.500
postoperative hemorrhage,c23.550.767.850
endoleak,c23.550.767.850.500
postoperative nausea and vomiting,c23.550.767.859
postpericardiotomy syndrome,c23.550.767.863
prosthesis failure,c23.550.767.865
implant capsular contracture,c23.550.767.865.500
prosthesis-related infections,c23.550.767.868
reperfusion injury,c23.550.767.877
myocardial reperfusion injury,c23.550.767.877.500
primary graft dysfunction,c23.550.767.877.750
"shock, surgical",c23.550.767.879
short bowel syndrome,c23.550.767.882
slit ventricle syndrome,c23.550.767.884
surgical wound dehiscence,c23.550.767.887
surgical wound infection,c23.550.767.925
vasoplegia,c23.550.767.962
"protein aggregation, pathological",c23.550.770
respiratory aspiration,c23.550.773
respiratory aspiration of gastric contents,c23.550.773.500
retropneumoperitoneum,c23.550.794
sclerosis,c23.550.823
shock,c23.550.835
multiple organ failure,c23.550.835.525
"shock, cardiogenic",c23.550.835.550
"shock, hemorrhagic",c23.550.835.650
"shock, surgical",c23.550.835.775
"shock, traumatic",c23.550.835.888
systemic inflammatory response syndrome,c23.550.835.900
"shock, septic",c23.550.835.900.712
teratogenesis,c23.550.863
ulcer,c23.550.891
vascular remodeling,c23.550.918
yang deficiency,c23.550.945
yin deficiency,c23.550.972
signs and symptoms,c23.888
"aging, premature",c23.888.069
asthenia,c23.888.089
body temperature changes,c23.888.119
fever,c23.888.119.344
fever of unknown origin,c23.888.119.344.345
sweating sickness,c23.888.119.344.672
hypothermia,c23.888.119.565
body weight,c23.888.144
birth weight,c23.888.144.186
fetal macrosomia,c23.888.144.186.500
body weight changes,c23.888.144.243
body-weight trajectory,c23.888.144.243.463
weight gain,c23.888.144.243.926
gestational weight gain,c23.888.144.243.926.500
weight loss,c23.888.144.243.963
emaciation,c23.888.144.243.963.500
cachexia,c23.888.144.243.963.500.500
fetal weight,c23.888.144.300
overweight,c23.888.144.699
obesity,c23.888.144.699.500
"obesity, metabolically benign",c23.888.144.699.500.250
"obesity, morbid",c23.888.144.699.500.500
pediatric obesity,c23.888.144.699.500.750
thinness,c23.888.144.828
"cardiac output, high",c23.888.176
"cardiac output, low",c23.888.192
chills,c23.888.208
cyanosis,c23.888.248
infantile apparent life-threatening event,c23.888.248.500
edema,c23.888.277
"edema, cardiac",c23.888.277.197
hydrops fetalis,c23.888.277.395
eye manifestations,c23.888.307
eye hemorrhage,c23.888.307.500
eye pain,c23.888.307.625
susac syndrome,c23.888.307.750
failure to thrive,c23.888.338
fatigue,c23.888.369
mental fatigue,c23.888.369.500
"alert fatigue, health personnel",c23.888.369.500.250
compassion fatigue,c23.888.369.500.500
feminization,c23.888.378
fetal distress,c23.888.380
heart murmurs,c23.888.447
systolic murmurs,c23.888.447.500
hot flashes,c23.888.475
hypergammaglobulinemia,c23.888.512
hyperlactatemia,c23.888.516
hypertriglyceridemic waist,c23.888.521
intermittent claudication,c23.888.531
medically unexplained symptoms,c23.888.541
mobility limitation,c23.888.550
motion sickness,c23.888.571
space motion sickness,c23.888.571.800
myocardial stunning,c23.888.582
neurologic manifestations,c23.888.592
bilateral vestibulopathy,c23.888.592.057
cerebrospinal fluid leak,c23.888.592.114
cerebrospinal fluid otorrhea,c23.888.592.114.249
cerebrospinal fluid rhinorrhea,c23.888.592.114.624
decerebrate state,c23.888.592.298
dyskinesias,c23.888.592.350
ataxia,c23.888.592.350.090
cerebellar ataxia,c23.888.592.350.090.200
gait ataxia,c23.888.592.350.090.600
athetosis,c23.888.592.350.110
catalepsy,c23.888.592.350.200
chorea,c23.888.592.350.250
"dyskinesia, drug-induced",c23.888.592.350.275
tardive dyskinesia,c23.888.592.350.275.500
dystonia,c23.888.592.350.300
torticollis,c23.888.592.350.300.800
hyperkinesis,c23.888.592.350.350
hypokinesia,c23.888.592.350.400
myoclonus,c23.888.592.350.500
psychomotor agitation,c23.888.592.350.600
"akathisia, drug-induced",c23.888.592.350.600.500
synkinesis,c23.888.592.350.675
tics,c23.888.592.350.700
tremor,c23.888.592.350.850
"gait disorders, neurologic",c23.888.592.413
gait apraxia,c23.888.592.413.400
gait ataxia,c23.888.592.413.450
meningism,c23.888.592.544
neurobehavioral manifestations,c23.888.592.604
anhedonia,c23.888.592.604.039
catatonia,c23.888.592.604.115
communication disorders,c23.888.592.604.150
language disorders,c23.888.592.604.150.500
agraphia,c23.888.592.604.150.500.050
anomia,c23.888.592.604.150.500.090
dyslexia,c23.888.592.604.150.500.300
"dyslexia, acquired",c23.888.592.604.150.500.300.200
"alexia, pure",c23.888.592.604.150.500.300.200.100
language development disorders,c23.888.592.604.150.500.550
speech disorders,c23.888.592.604.150.500.800
aphasia,c23.888.592.604.150.500.800.100
"aphasia, broca",c23.888.592.604.150.500.800.100.100
"aphasia, conduction",c23.888.592.604.150.500.800.100.111
"aphasia, primary progressive",c23.888.592.604.150.500.800.100.155
primary progressive nonfluent aphasia,c23.888.592.604.150.500.800.100.155.600
"aphasia, wernicke",c23.888.592.604.150.500.800.100.166
articulation disorders,c23.888.592.604.150.500.800.150
dysarthria,c23.888.592.604.150.500.800.150.200
echolalia,c23.888.592.604.150.500.800.300
mutism,c23.888.592.604.150.500.800.500
stuttering,c23.888.592.604.150.500.800.750
learning disorders,c23.888.592.604.150.550
dyscalculia,c23.888.592.604.150.550.099
dyslexia,c23.888.592.604.150.550.200
"dyslexia, acquired",c23.888.592.604.150.550.200.500
confusion,c23.888.592.604.339
delirium,c23.888.592.604.339.500
emergence delirium,c23.888.592.604.339.500.500
consciousness disorders,c23.888.592.604.359
unconsciousness,c23.888.592.604.359.800
coma,c23.888.592.604.359.800.200
persistent vegetative state,c23.888.592.604.359.800.400
stupor,c23.888.592.604.359.800.500
syncope,c23.888.592.604.359.800.600
"syncope, vasovagal",c23.888.592.604.359.800.600.500
lethargy,c23.888.592.604.444
memory disorders,c23.888.592.604.529
amnesia,c23.888.592.604.529.100
"amnesia, anterograde",c23.888.592.604.529.100.075
"amnesia, retrograde",c23.888.592.604.529.100.150
"amnesia, transient global",c23.888.592.604.529.100.800
korsakoff syndrome,c23.888.592.604.529.400
alcoholic korsakoff syndrome,c23.888.592.604.529.400.500
intellectual disability,c23.888.592.604.646
perceptual disorders,c23.888.592.604.764
agnosia,c23.888.592.604.764.100
gerstmann syndrome,c23.888.592.604.764.100.300
prosopagnosia,c23.888.592.604.764.100.650
alice in wonderland syndrome,c23.888.592.604.764.150
allesthesia,c23.888.592.604.764.175
auditory perceptual disorders,c23.888.592.604.764.200
hallucinations,c23.888.592.604.764.300
charles bonnet syndrome,c23.888.592.604.764.300.500
illusions,c23.888.592.604.764.400
phantom limb,c23.888.592.604.764.700
psychomotor disorders,c23.888.592.604.882
apraxias,c23.888.592.604.882.350
alien hand syndrome,c23.888.592.604.882.350.099
"apraxia, ideomotor",c23.888.592.604.882.350.200
gait apraxia,c23.888.592.604.882.350.600
psychomotor agitation,c23.888.592.604.882.700
neuromuscular manifestations,c23.888.592.608
fasciculation,c23.888.592.608.250
muscle cramp,c23.888.592.608.500
muscle hypertonia,c23.888.592.608.550
muscle rigidity,c23.888.592.608.550.500
muscle spasticity,c23.888.592.608.550.550
muscle hypotonia,c23.888.592.608.575
muscle weakness,c23.888.592.608.593
muscular atrophy,c23.888.592.608.612
sarcopenia,c23.888.592.608.612.500
myokymia,c23.888.592.608.650
myotonia,c23.888.592.608.700
spasm,c23.888.592.608.750
hemifacial spasm,c23.888.592.608.750.400
trismus,c23.888.592.608.750.700
tetany,c23.888.592.608.875
orthostatic intolerance,c23.888.592.610
pain,c23.888.592.612
abdominal pain,c23.888.592.612.054
"abdomen, acute",c23.888.592.612.054.200
acute pain,c23.888.592.612.081
arthralgia,c23.888.592.612.094
shoulder pain,c23.888.592.612.094.700
back pain,c23.888.592.612.107
failed back surgery syndrome,c23.888.592.612.107.200
low back pain,c23.888.592.612.107.400
breakthrough pain,c23.888.592.612.191
cancer pain,c23.888.592.612.212
chest pain,c23.888.592.612.233
angina pectoris,c23.888.592.612.233.500
"angina, unstable",c23.888.592.612.233.500.150
"angina pectoris, variant",c23.888.592.612.233.500.150.150
"angina, stable",c23.888.592.612.233.500.575
chronic pain,c23.888.592.612.274
earache,c23.888.592.612.302
eye pain,c23.888.592.612.316
facial pain,c23.888.592.612.330
toothache,c23.888.592.612.330.500
flank pain,c23.888.592.612.386
glossalgia,c23.888.592.612.414
headache,c23.888.592.612.441
slit ventricle syndrome,c23.888.592.612.441.500
labor pain,c23.888.592.612.451
mastodynia,c23.888.592.612.530
metatarsalgia,c23.888.592.612.540
morton neuroma,c23.888.592.612.540.500
musculoskeletal pain,c23.888.592.612.547
myalgia,c23.888.592.612.547.249
pelvic girdle pain,c23.888.592.612.547.500
neck pain,c23.888.592.612.553
neuralgia,c23.888.592.612.664
morton neuroma,c23.888.592.612.664.275
"neuralgia, postherpetic",c23.888.592.612.664.550
piriformis muscle syndrome,c23.888.592.612.664.675
pudendal neuralgia,c23.888.592.612.664.737
sciatica,c23.888.592.612.664.800
nociceptive pain,c23.888.592.612.720
visceral pain,c23.888.592.612.720.500
"pain, intractable",c23.888.592.612.776
"pain, postoperative",c23.888.592.612.832
phantom limb,c23.888.592.612.832.500
"pain, procedural",c23.888.592.612.860
"pain, referred",c23.888.592.612.888
pelvic pain,c23.888.592.612.944
dysmenorrhea,c23.888.592.612.944.500
pelvic girdle pain,c23.888.592.612.944.625
piriformis muscle syndrome,c23.888.592.612.944.750
renal colic,c23.888.592.612.972
