hsa-mir-3138,"carcinoma, squamous cell"
hsa-mir-4736,giant cell tumor of bone
hsa-mir-663a,silicosis
hsa-mir-3161,"lymphoma, mantle-cell"
hsa-mir-640,breast neoplasms
hsa-mir-6826,dental enamel hypoplasia
hsa-mir-1237,"pemphigus, benign familial"
hsa-mir-642a,head and neck adenoid cystic carcinoma
hsa-mir-302b,wound healing
hsa-mir-3622b,penis carcinoma
hsa-mir-188,leishmaniasis
hsa-mir-2355,sciatic nerve injury
hsa-mir-1261,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-1260b,endocardial cushion defects
hsa-mir-24-1,eclampsia
hsa-mir-374a,"small cell carcinoma, esophageal"
hsa-mir-23b,hepatoblastoma
hsa-mir-631,"lymphoma, follicular"
hsa-mir-410,digestive system neoplasms
hsa-mir-635,"lipid metabolism, inborn errors"
hsa-mir-421,"carcinoma, tounge"
hsa-mir-942,"leukemia, biphenotypic, acute"
hsa-mir-135a-2,microvascular disease
hsa-mir-3619,intraductal papillary mucinous neoplasms
hsa-mir-4723,skin hemangioma
hsa-mir-526b,pten hamartoma tumor tyndrome
hsa-mir-29b-1,lung diseases
hsa-mir-138-1,acute kidney injury
hsa-mir-7152,pediatric obesity
hsa-mir-6068,rectum adenocarcinoma
hsa-mir-766,esophagitis
hsa-mir-568,uterine corpus serous adenocarcinoma
hsa-mir-3666,"lymphoma, t-cell, cutaneous"
hsa-mir-610,"angina, unstable"
hsa-mir-770,pemphigus
hsa-mir-520a,dengue
hsa-mir-125b-1,liver transplant rejection
hsa-mir-431,sciatic nerve injury
hsa-mir-4310,"leukemia, myeloid, chronic-phase"
hsa-mir-369,attention deficit disorder with hyperactivity
hsa-mir-4274,cardiomyopathies
hsa-mir-449c,"telangiectasia, hereditary hemorrhagic"
hsa-mir-6831,leiomyoma
hsa-mir-296,kidney neoplasms
hsa-mir-620,"leukemia, megakaryoblastic, acute"
hsa-mir-345,uremic neuropathy
hsa-mir-3171,laryngeal neoplasms
hsa-mir-520g,uveal melanoma
hsa-mir-875,intracranial arteriovenous malformations
hsa-mir-5193,lung diseases
hsa-mir-4463,multiple sulfatase deficiency disease
hsa-mir-892b,tetralogy of fallot
hsa-mir-101-2,dementia
hsa-mir-4530,uterine leiomyosarcoma
hsa-mir-485,rhabdoid tumor
hsa-mir-642b,cataract
hsa-mir-4281,"leukemia, t-cell"
hsa-mir-518a-1,"angina, unstable"
hsa-mir-187,glomerulonephritis
hsa-mir-1285-1,"lymphoma, non-hodgkin"
hsa-mir-599,testicular neoplasms
hsa-mir-1297,congenital microtia
hsa-mir-6838,reproductive system disease
hsa-mir-4758,autistic disorder
hsa-mir-212,cardiac fibrosis
hsa-mir-450a-1,methylmalonic acidemia
hsa-mir-298,"rhinitis, vasomotor"
hsa-mir-203a,colorectal adenocarcinoma
hsa-let-7e,borna disease
hsa-mir-320c-2,burns
hsa-mir-3147,"depressive disorder, major"
hsa-mir-4302,"anemia, sickle cell"
hsa-mir-3144,"fatty liver, alcoholic"
hsa-mir-137,myotonic dystrophy
hsa-mir-142,diabetic peripheral neuropathy
hsa-mir-761,haemophilus infections
hsa-mir-218-2,"carcinoma, urothelial, upper tract"
hsa-mir-151a,"hepatitis c, chronic"
hsa-mir-5100,"carcinoma, pancreatic"
hsa-mir-1247,costello syndrome
hsa-mir-133a-1,hemoglobin sc disease
hsa-mir-141,diabetic nephropathies
hsa-mir-490,"diabetes mellitus, type 2"
hsa-mir-4490,"squamous cell carcinoma, skin or unspecific"
hsa-mir-592,stevens-johnson syndrome
hsa-mir-4319,peripheral nerve injuries
hsa-mir-762,skin injury
hsa-mir-378d-1,"leukemia, lymphoblastic, acute, t-cell"
hsa-mir-518a-1,intellectual disability
hsa-mir-223,oligodendroglioma
hsa-mir-484,"pregnancy, ectopic"
hsa-mir-1271,pituitary neoplasms
hsa-mir-1233-2,"carcinoma, mucoepidermoid"
hsa-mir-643,lymphoproliferative disorders
hsa-mir-188,diabetic cardiomyopathies
hsa-mir-126,"abortion, spontaneous"
hsa-mir-1224,skin injury
hsa-mir-654,ovarian germ cell cancer
hsa-mir-4649,mental disorders
hsa-mir-579,coronary restenosis
hsa-mir-3195,mitochondrial diseases
hsa-mir-3908,"osteoarthritis, knee"
hsa-mir-3658,cerebral hemorrhage
hsa-mir-382,li-fraumeni syndrome
hsa-mir-4695,"purpura, thrombocytopenic, idiopathic"
hsa-mir-4513,diabetic angiopathies
hsa-mir-25,vascular system injuries
hsa-mir-4324,"leukemia, myeloid, chronic-phase"
hsa-mir-1284,lupus vulgaris
hsa-mir-661,biliary tract neoplasms
hsa-mir-604,"myasthenic syndromes, congenital"
hsa-mir-597,lupus nephritis
hsa-mir-1471,hearing loss
hsa-mir-507,hypercholesterolemia
hsa-mir-647,"malaria, falciparum"
hsa-mir-1285-2,nevus
hsa-mir-1972-1,mastitis
hsa-mir-450b,"leprosy, lepromatous"
hsa-mir-203a,"leukemia, t-cell"
hsa-mir-4728,hirschsprung disease
hsa-mir-539,intracranial arteriovenous malformations
hsa-mir-518f,"osteoarthritis, knee"
hsa-mir-5699,"squamous cell carcinoma, tongue"
hsa-mir-760,infectious bursal disease virus
hsa-mir-4633,respiratory system disease
hsa-mir-106b,carotid artery diseases
hsa-mir-3170,frailty
hsa-let-7c,inferior wall myocardial infarction
hsa-mir-320c-2,embryonal testis carcinoma
hsa-mir-5091,"niemann-pick disease, type c"
hsa-mir-517b,coloboma
hsa-mir-152,fibromyalgia
hsa-mir-451a,malt lymphoma
hsa-mir-585,"carcinoma, signet ring cell"
hsa-mir-6886,cocaine-related disorders
hsa-mir-6086,hyperhomocysteinemia
hsa-mir-558,pulmonary heart disease
hsa-mir-3188,retinoblastoma
hsa-mir-1292,diabetic nephropathies
hsa-mir-520e,pediatric obesity
hsa-mir-3074,inferior wall myocardial infarction
hsa-mir-422a,sertoli cell-only syndrome
hsa-mir-3151,acute heart failure
hsa-mir-6069,"hamartoma syndrome, multiple"
hsa-mir-6775,trisomy 13 syndrome
hsa-mir-342,periodontitis
hsa-mir-23b,infectious bursal disease virus
hsa-mir-1246,leishmaniasis
hsa-mir-346,cervix endometrial stromal tumor
hsa-mir-513a-1,uterine neoplasms
hsa-mir-124-3,multiple system atrophy
hsa-mir-4732,burns
hsa-mir-301b,essential hypertension
hsa-mir-3909,"hypoxia-ischemia, brain"
hsa-mir-99a,atypical teratoid tumor
hsa-mir-548j,chronic pain
hsa-mir-4284,venous thromboembolism
hsa-mir-1248,ocular motility disorders
hsa-mir-324,fragile x syndrome
hsa-mir-320c-1,frontotemporal dementia
hsa-mir-550b-2,neurotoxicity syndromes
hsa-mir-374b,"small cell carcinoma, esophageal"
hsa-mir-1321,myeloproliferative neoplasms
hsa-mir-125a,"pancreatitis, acute necrotizing"
hsa-mir-761,hyperaldosteronism
hsa-mir-365a,tetralogy of fallot
hsa-mir-452,neuroendocrine tumors
hsa-mir-3924,"cholangitis, sclerosing"
hsa-mir-100,encephalomyelitis
hsa-mir-217,hearing disorders
hsa-mir-676,endocardial cushion defects
hsa-mir-30b,bronchopulmonary dysplasia
hsa-mir-302a,huntington disease
hsa-mir-204,white spot syndrome virus 1
hsa-mir-302b,nut midline carcinoma
hsa-mir-877,"scleroderma, systemic"
hsa-mir-376a-2,uterine neoplasms
hsa-mir-374c,"adenocarcinoma, esophageal"
hsa-mir-1252,atypical teratoid tumor
hsa-mir-429,psychotic disorders
hsa-mir-622,dental enamel hypoplasia
hsa-mir-876,uveomeningoencephalitic syndrome
hsa-mir-122,oropharyngeal neoplasms
hsa-mir-2113,anemia
hsa-mir-922,"solitary fibrous tumor, pleural"
hsa-mir-802,graft vs host disease
hsa-mir-891a,"leukemia, erythroblastic, acute"
hsa-mir-320b-1,anxiety
hsa-mir-3677,"child development disorders, pervasive"
hsa-mir-7109,acute lung injury
hsa-mir-136,"lymphoma, mantle-cell"
hsa-mir-597,hypoxia
hsa-mir-384,"carcinoma, merkel cell"
hsa-mir-509-2,aortic valve stenosis
hsa-mir-1914,diabetes mellitus
hsa-mir-770,smoke inhalation injury
hsa-mir-526a-2,"carcinoma, gingival"
hsa-mir-1225,multiple sclerosis
hsa-mir-4449,"purpura, thrombocytopenic, idiopathic"
hsa-mir-6875,diabetic encephalopathy
hsa-mir-5004,colorectal neoplasms
hsa-mir-145,hantavirus infections
hsa-mir-181b-1,skin diseases
hsa-mir-1203,osteopetrosis
hsa-mir-125a,"pemphigus, benign familial"
hsa-mir-143,inflammatory bowel diseases
hsa-mir-618,myocardial ischemia
hsa-mir-147b,"leukemia, biphenotypic, acute"
hsa-mir-4739,melanosis
hsa-mir-7515,dermatomyositis
hsa-mir-346,nasopharyngeal neoplasms
hsa-mir-373,graves disease
hsa-mir-4284,uterine cervicitis
hsa-mir-501,glaucoma
hsa-mir-6869,mental disorders
hsa-mir-4787,peri-implantitis
hsa-mir-216a,mucocutaneous lymph node syndrome
hsa-mir-802,inflammation
hsa-mir-1295a,"lymphoma, t-cell"
hsa-mir-575,acute coronary syndrome
hsa-mir-25,"lymphoma, primary effusion"
hsa-mir-548d-2,"carcinoma, urothelial"
hsa-mir-920,oropharyngeal neoplasms
hsa-mir-3976,neuroma
hsa-mir-582,coronary artery disease
hsa-mir-7152,endotoxemia
hsa-mir-3925,sertoli cell-only syndrome
hsa-mir-3157,chromosome 15q13.3 microdeletion syndrome
hsa-mir-515-1,"leukemia, t-cell"
hsa-mir-181a-1,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-296,gerstmann-straussler-scheinker disease
hsa-mir-329-2,obesity
hsa-mir-657,"helplessness, learned"
hsa-mir-632,dermatomyositis
hsa-mir-3908,neuronal apoptosis-related diseases
hsa-mir-320b-1,"lymphoma, b-cell"
hsa-mir-4721,blindness
hsa-mir-510,non-syndromic orofacial clefts
hsa-mir-27b,"squamous cell carcinoma, sinonasal"
hsa-mir-3163,uterine cervical neoplasms
hsa-mir-212,acute heart failure
hsa-mir-379,uterine leiomyosarcoma
hsa-mir-3149,"supranuclear palsy, progressive"
hsa-mir-320d-1,nasal cavity inverting papilloma
hsa-mir-3157,distal myopathies
hsa-mir-5584,sebaceous carcinoma
hsa-mir-510,sezary syndrome
hsa-mir-3146,proliferative glomerulonephritis
hsa-mir-135a-2,"adenocarcinoma, ampullary"
hsa-mir-500a,"purpura, thrombocytopenic, idiopathic"
hsa-mir-1288,hypertension
hsa-mir-3175,idiopathic asthenospermia
hsa-mir-26a-1,alcoholism
hsa-mir-6861,adrenal cortex neoplasms
hsa-mir-1237,glioma
hsa-mir-1307,peritoneal dialysis failure
hsa-mir-202,selective ige deficiency disease
hsa-mir-933,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-25,chorioamnionitis
hsa-mir-5003,chemical and drug induced liver injury
hsa-mir-4258,cardiomegaly
hsa-mir-1204,breast adenocarcinoma
hsa-mir-3658,schizophrenia
hsa-mir-451a,complex regional pain syndromes
hsa-mir-520e,panic disorder
hsa-mir-1306,vitiligo
hsa-mir-1302-7,thrombocytosis
hsa-mir-758,vulvar squamous tumor
hsa-mir-382,"leukemia, lymphoblastic, acute, b-cell"
hsa-mir-1321,gastric cardia adenocarcinoma
hsa-mir-613,diabetic nephropathies
hsa-mir-513a-1,"leukemia, myeloid, chronic-phase"
hsa-mir-2113,"hearing loss, central"
hsa-mir-3649,chemical and drug induced liver injury
hsa-mir-6133,"helplessness, learned"
hsa-mir-3200,alzheimer disease
hsa-mir-215,"arthritis, rheumatoid"
hsa-mir-5010,"adenocarcinoma, cervical"
hsa-mir-4656,"abortion, habitual"
hsa-mir-933,pneumonia
hsa-mir-429,cervix endometrial stromal tumor
hsa-mir-590,leprosy
hsa-mir-4633,"cholangitis, sclerosing"
hsa-mir-622,monocytic leukemia
hsa-mir-7702,autistic disorder
hsa-mir-1281,colitis
hsa-mir-376a-2,chorioamnionitis
hsa-mir-100,esophagitis
hsa-mir-5584,heart failure
hsa-let-7b,hodgkin disease
hsa-mir-1249,"hamartoma syndrome, multiple"
hsa-mir-561,glaucoma
hsa-mir-154,"enterocolitis, necrotizing"
hsa-mir-1471,"squamous cell carcinoma, maxillary sinus"
hsa-mir-508,muscular diseases
hsa-mir-675,inflammatory bowel diseases
hsa-mir-4436b-1,osteonecrosis
hsa-mir-3611,peri-implantitis
hsa-mir-375,osteonecrosis
hsa-mir-591,lymphocytic choriomeningitis
hsa-mir-30c-2,oral submucous fibrosis
hsa-mir-153-1,nephrosclerosis
hsa-mir-519c,"hemorrhagic fever, ebola"
hsa-mir-944,burns
hsa-mir-6861,colon adenoma
hsa-mir-4484,skin diseases
hsa-mir-1304,lymphoproliferative disorders
hsa-mir-921,uveitis
hsa-mir-1973,multiple endocrine neoplasia type 1
hsa-mir-4268,"leukemia, lymphocytic, chronic, b-cell"
hsa-mir-1258,"hemorrhagic fever, ebola"
hsa-mir-3196,"malaria, cerebral"
hsa-mir-514a-3,"carcinoma, ductal"
hsa-mir-548ac,"heart defects, congenital"
hsa-mir-629,narcolepsy
hsa-mir-26b,"chromosome 22q11.2 deletion syndrome, distal"
hsa-mir-1538,liver cirrhosis
hsa-mir-194-1,"leukemia, lymphoid"
hsa-mir-513a-1,"lymphoma, t-cell, cutaneous"
hsa-mir-5582,"colitis, ulcerative"
hsa-mir-381,pelvic organ prolapse
hsa-mir-3074,ileus
hsa-mir-4423,rheumatic myocarditis
hsa-mir-191,hepatitis e
hsa-mir-3667,gastroduodenal ulcer
hsa-mir-662,"scleroderma, localized"
hsa-mir-147b,gallstones
hsa-mir-555,schizophrenia
hsa-mir-1260b,idiopathic scoliosis
hsa-mir-6880,prediabetic state
hsa-mir-519d,arteriosclerosis obliterans
hsa-mir-1302-3,crohn disease
hsa-mir-4500,chronic inflammation
hsa-mir-4489,dengue
hsa-mir-3163,cholestasis
hsa-mir-548t,endometrial neoplasms
hsa-mir-523,"leukemia, myeloid, acute"
hsa-mir-4756,kidney diseases
hsa-mir-1285-1,nasopharyngeal neoplasms
hsa-mir-194-1,adenosquamous pancreas carcinoma
hsa-mir-4648,prader-willi syndrome
hsa-mir-150,"adenocarcinoma, ampullary"
hsa-mir-96,hiv infections
hsa-mir-642a,pediatric glioma
hsa-mir-346,staphylococcal scalded skin syndrome
hsa-mir-4672,pulmonary heart disease
hsa-mir-765,thyroid lymphoma
hsa-mir-1249,oropharyngeal neoplasms
hsa-mir-4295,irritable bowel syndrome
hsa-mir-542,"lymphoma, follicular"
hsa-mir-6126,inherited hemoglobin disease
hsa-mir-548a-2,"adenocarcinoma, colon"
hsa-mir-4756,haemophilus infections
hsa-mir-583,fetal alcohol spectrum disorders
hsa-mir-3682,"squamous cell carcinoma, head and neck"
hsa-mir-668,psoriasis
hsa-mir-15b,liposarcoma
hsa-mir-4732,helicobacter pylori
hsa-mir-378d-1,peritoneal neoplasms
hsa-mir-1228,blindness
hsa-mir-214,pediatric obesity
hsa-mir-4534,hyperlipoproteinemia type iii
hsa-mir-3646,retinal degeneration
hsa-mir-129-1,respiratory syncytial virus infections
hsa-mir-3131,methylmalonic acidemia
hsa-mir-1914,muscular dystrophies
hsa-mir-450b,"carcinoma, oral"
hsa-mir-3620,mitral valve disease
hsa-mir-514a-2,evans syndrome
hsa-mir-217,"shock, hemorrhagic"
hsa-mir-372,head and neck adenoid cystic carcinoma
hsa-mir-6836,"carcinoma, non-small-cell lung"
hsa-mir-380,smoke inhalation injury
hsa-mir-99b,"carcinoma, islet cell"
hsa-mir-3928,hepatoblastoma
hsa-mir-590,"solitary fibrous tumor, pleural"
hsa-mir-206,friedreich ataxia
hsa-mir-587,"carcinoma, embryonal"
hsa-mir-346,cardiac myocyte injury
hsa-mir-676,triple negative breast neoplasms
hsa-mir-934,"lymphoma, t-cell, cutaneous"
hsa-mir-548t,peripheral nerve injuries
hsa-mir-6867,phyllodes tumor
hsa-mir-105-2,skin diseases
hsa-mir-592,cardiotoxicity
hsa-mir-487b,parathyroid neoplasms
hsa-mir-381,endometrial neoplasms
hsa-mir-3146,lofgren syndrome
hsa-mir-548l,brain diseases
hsa-mir-548c,burns
hsa-mir-599,breast neoplasms
hsa-mir-5584,congenital deafness
hsa-mir-643,osteosarcoma
hsa-mir-1206,nut midline carcinoma
hsa-mir-4518,chronic cerebral hypoperfusion
hsa-mir-124-2,paratuberculosis
hsa-mir-16-1,kidney osteogenic sarcoma
hsa-mir-27b,"carcinoma, mucoepidermoid"
hsa-mir-181b-2,prion diseases
hsa-mir-631,diabetic retinopathy
hsa-mir-4298,renal oncocytoma
hsa-mir-1302-5,atrial fibrillation
hsa-mir-3622b,perlman syndrome
hsa-mir-1302-6,gerstmann-straussler-scheinker disease
hsa-mir-323a,ependymoma
hsa-mir-599,cardiovascular diseases
hsa-mir-940,hyperaldosteronism
hsa-mir-466,costello syndrome
hsa-mir-4258,"leukemia, b-cell"
hsa-mir-3620,"leishmaniasis, visceral"
hsa-mir-575,migraine disorders
hsa-mir-4717,"carcinoma, hepatocellular, hcv-related"
hsa-mir-103b-2,status epilepticus
hsa-mir-5193,hepatic veno-occlusive disease
hsa-mir-320c-2,"cardiomyopathy, alcoholic"
hsa-mir-760,"niemann-pick disease, type c"
hsa-mir-302a,li-fraumeni syndrome
hsa-mir-940,infection
hsa-mir-103a-1,uterine corpus myxoid leiomyosarcoma
hsa-mir-3622b,pheochromocytoma
hsa-mir-218-2,liver failure
hsa-mir-105-1,infertility
hsa-mir-194-1,cocaine-related disorders
hsa-mir-525,generalized epilepsy with febrile seizures plus
hsa-mir-522,penis carcinoma
hsa-mir-3195,becker muscular dystrophy
hsa-mir-190b,"muscular dystrophy, duchenne"
hsa-mir-632,ileus
hsa-mir-1908,emphysema
hsa-mir-3138,osteoarthritis
hsa-mir-378a,lupus nephritis
hsa-mir-606,"sleep apnea, obstructive"
hsa-mir-320c-1,non-sensory diseases
hsa-mir-1285-2,chondrosarcoma
hsa-mir-499a,"depressive disorder, major"
hsa-mir-4487,myocardial infarction
hsa-mir-422a,"shock, septic"
hsa-mir-2116,sjogren's syndrome
hsa-mir-2682,"sleep apnea, obstructive"
hsa-mir-516b-2,lofgren syndrome
hsa-mir-301b,dengue shock syndrome
hsa-mir-1302-3,dyspepsia
hsa-mir-1288,"meningitis, pneumococcal"
hsa-mir-139,melanosis
hsa-mir-217,early-stage cervical squamous cell carcinoma
hsa-mir-579,hyperlipoproteinemia type iii
hsa-mir-510,"leukemia, megakaryoblastic, acute"
hsa-mir-657,lymphoma
hsa-mir-1468,"carcinoma, thyroid, follicular"
hsa-mir-96,gastrointestinal stromal tumors
hsa-mir-933,acute cerebral ischemia
hsa-mir-1264,myocardial reperfusion injury
hsa-mir-1469,borna disease
hsa-mir-516a-1,hypertrophy
hsa-mir-619,thyroid neoplasms
hsa-mir-100,coronary restenosis
hsa-mir-562,lyme disease
hsa-mir-372,"cardiomyopathy, ischemic"
hsa-mir-103a-2,coloboma
hsa-mir-20b,coronavirus infections
hsa-mir-342,oropharyngeal neoplasms
hsa-mir-593,"glomerulonephritis, iga"
hsa-mir-196a-1,white spot syndrome virus 1
hsa-mir-187,pre-eclampsia
hsa-mir-9-3,ileus
hsa-mir-4443,adenoviridae infections
hsa-mir-3677,dengue shock syndrome
hsa-mir-2110,peri-implantitis
hsa-mir-877,"niemann-pick disease, type c"
hsa-mir-670,multiple myeloma
hsa-mir-346,osteonecrosis
hsa-mir-564,"leukemia, acute"
hsa-mir-591,retinal vascular disease
hsa-mir-338,emphysema
hsa-mir-215,"hepatitis c, chronic"
hsa-mir-3945,liposarcoma
hsa-mir-497,light-induced retinal injury
hsa-mir-1273c,"carcinoma, urothelial"
hsa-mir-148a,cartilage diseases
hsa-mir-1303,"carcinoma, colon"
hsa-mir-215,"telangiectasia, hereditary hemorrhagic"
hsa-mir-378i,diabetic encephalopathy
hsa-mir-625,light-induced retinal injury
hsa-mir-638,congenital deafness
hsa-mir-612,asthma
hsa-mir-141,diabetic retinopathy
hsa-mir-4302,"hypertension, pulmonary"
hsa-mir-4302,"carcinoma, hepatocellular, hbv-related"
hsa-mir-762,precursor b-cell lymphoblastic leukemia-lymphoma
hsa-mir-382,acute cerebral ischemia
hsa-mir-3126,"leukemia, myeloid, acute, pediatric"
hsa-mir-1226,leiomyosarcoma
hsa-mir-3175,non-neoplastic diseases
hsa-mir-6880,allergic asthma
hsa-mir-105-2,"leukemia, myeloid, chronic-phase"
hsa-mir-99b,"anemia, sickle cell"
hsa-mir-139,early-stage colon adenocarcinoma
hsa-mir-548q,osteogenesis imperfecta
hsa-mir-636,"arthritis, juvenile"
hsa-mir-517b,inferior wall myocardial infarction
hsa-mir-4633,"aortic aneurysm, thoracic"
hsa-mir-124-2,down syndrome
hsa-mir-630,cerebellar neoplasms
hsa-mir-3622b,"hernia, diaphragmatic"
hsa-mir-4508,creutzfeldt-jakob syndrome
hsa-mir-203b,growth hormone-secreting pituitary adenoma
hsa-mir-548a-2,bone diseases
hsa-mir-3908,parathyroid neoplasms
hsa-mir-514a-3,urinary system cancer
hsa-mir-6831,vascular system injuries
hsa-mir-6799,"adenocarcinoma, ampullary"
hsa-mir-1468,meningitis
hsa-mir-575,biliary atresia
hsa-mir-2392,wound inflammation
hsa-mir-513b,intracranial arteriovenous malformations
hsa-mir-95,dyspepsia
hsa-mir-639,embryonal testis carcinoma
hsa-mir-655,"leukemia, b-cell"
hsa-mir-1306,multiple endocrine neoplasia type 1
hsa-mir-1185-1,cornea squamous cell carcinoma
hsa-mir-133b,borna disease
hsa-mir-320b-1,dengue shock syndrome
hsa-mir-4736,lung diseases
hsa-mir-4284,diabetic foot
hsa-mir-147a,"obstetric labor, premature"
hsa-mir-3960,"lymphoma, t-cell"
hsa-mir-611,long qt syndrome
hsa-mir-384,"shock, septic"
hsa-mir-205,uterine corpus myxoid leiomyosarcoma
hsa-mir-3663,"carcinoma, skin appendage"
hsa-let-7f-2,dengue shock syndrome
hsa-mir-516a-2,polycythemia vera
hsa-mir-873,cytomegalovirus infections
hsa-mir-296,reperfusion injury
hsa-mir-642a,cartilage diseases
hsa-mir-5009,"lymphoma, primary effusion"
hsa-mir-610,"adenocarcinoma, lung"
hsa-mir-5000,uterine corpus endometrial carcinoma
hsa-mir-3976,hirschsprung disease
hsa-mir-1908,cerebral hemorrhage
hsa-mir-4661,cardiovascular diseases
hsa-mir-139,"leukemia, myeloid, chronic-phase"
hsa-mir-4534,neurilemmoma
hsa-mir-6721,"adenocarcinoma, cervical"
hsa-mir-345,wound inflammation
hsa-mir-1468,"rhinitis, allergic, perennial"
hsa-mir-196a-1,"leukemia, acute"
hsa-mir-153-1,sertoli cell-only syndrome
hsa-mir-4317,"aortic aneurysm, abdominal"
hsa-mir-644a,heart valve diseases
hsa-mir-223,"carcinoma, urothelial"
hsa-mir-5187,"squamous cell carcinoma, laryngeal or hypopharyngeal"
hsa-mir-513c,recurrent wheezing
hsa-mir-1285-1,long qt syndrome
hsa-mir-548a-1,endotoxemia
hsa-mir-3200,precursor cell lymphoblastic leukemia-lymphoma
hsa-mir-6886,"niemann-pick disease, type c"
hsa-mir-10b,creutzfeldt-jakob syndrome
hsa-mir-676,mesothelioma
hsa-mir-606,generalized epilepsy with febrile seizures plus
hsa-mir-1321,"diabetes, gestational"
hsa-mir-935,pediatric ependymoma
hsa-mir-320c-2,anus neoplasms
hsa-mir-5187,inflammatory bowel diseases
hsa-mir-409,hemangioma
hsa-mir-4291,sarcomatoid mesothelioma
hsa-mir-885,myocarditis
hsa-mir-340,wounds and injuries
hsa-mir-668,glioma
hsa-mir-1260a,hyperaldosteronism
hsa-mir-4463,neuropsychiatric disorders [unspecific]
hsa-mir-186,lyme disease
hsa-mir-4423,myelodysplastic syndromes
hsa-mir-4310,aortic valve disease
hsa-mir-4295,leishmaniasis
hsa-mir-3686,"dermatitis, atopic"
hsa-mir-323b,mouth neoplasms
hsa-mir-9500,"cicatrix, hypertrophic"
hsa-mir-2278,"muscular dystrophy, duchenne"
hsa-mir-542,"arthritis, juvenile"
hsa-mir-26a-2,pulmonary embolism
hsa-mir-96,ossification of posterior longitudinal ligament
hsa-mir-1323,"hepatitis, alcoholic"
hsa-mir-4723,hemangioma
hsa-mir-374c,balkan nephropathy
hsa-mir-17,rhinosinusitis
hsa-mir-6088,dental enamel hypoplasia
hsa-mir-4466,"hepatitis, alcoholic"
hsa-mir-556,"carcinoma, embryonal"
hsa-mir-1245b,uremic neuropathy
hsa-mir-3177,"liposarcoma, myxoid"
hsa-mir-1233-2,"glomerulonephritis, iga"
hsa-mir-132,chorioamnionitis
hsa-mir-5003,"pregnancy, ectopic"
hsa-mir-187,chronic pain
hsa-mir-4271,bipolar disorder
hsa-mir-151a,precursor b-cell lymphoblastic leukemia-lymphoma
hsa-mir-548p,gaucher disease
hsa-mir-570,peripheral nerve injuries
hsa-mir-23b,"liver cirrhosis, biliary"
hsa-mir-4634,"squamous cell carcinoma, esophageal"
hsa-mir-5003,"leukemia, lymphoid"
hsa-mir-516b-1,"carcinoma, periampullary"
hsa-mir-3163,myocardial ischemia
hsa-mir-215,"kidney failure, chronic"
hsa-mir-4706,hiv-associated lipodystrophy syndrome
hsa-mir-204,giant cell tumor of bone
hsa-mir-1302-2,acute coronary syndrome
hsa-mir-579,muscular diseases
hsa-mir-3658,down syndrome
hsa-mir-3667,lymphocytic choriomeningitis
hsa-mir-944,chickenpox
hsa-mir-505,early-stage cervical squamous cell carcinoma
hsa-mir-194-2,"enterocolitis, necrotizing"
hsa-mir-543,intermittent claudication
hsa-mir-4295,hepatic veno-occlusive disease
hsa-mir-135b,bile duct neoplasms
hsa-mir-5100,alcoholism
hsa-mir-4466,neurotoxicity syndromes
hsa-mir-3146,wounds and injuries
hsa-mir-9-3,metabolic syndrome
hsa-mir-184,"leukemia, megakaryoblastic, acute"
hsa-mir-4511,nasal cavity inverting papilloma
hsa-mir-4666a,"diabetes mellitus, type 2"
hsa-mir-5187,prion diseases
hsa-mir-194-1,holt-oram syndrome
hsa-mir-4758,"squamous cell carcinoma, esophageal"
hsa-mir-4723,"carcinoma, endometrioid"
hsa-mir-25,uterine corpus serous adenocarcinoma
hsa-mir-381,pten hamartoma tumor tyndrome
hsa-mir-516b-2,"pemphigus, benign familial"
hsa-mir-4258,pituitary neoplasms
hsa-mir-3162,nephrotic syndrome
hsa-mir-126,amyloidosis
hsa-mir-539,"pulmonary disease, chronic obstructive"
hsa-mir-1298,listeriosis
hsa-mir-1825,lymphoma
hsa-mir-484,intestinal diseases
hsa-mir-26b,"leprosy, lepromatous"
hsa-mir-367,diabetic retinopathy
hsa-mir-892b,brain diseases
hsa-mir-3924,follicular atresia
hsa-mir-136,spondylarthritis
hsa-mir-323a,hypercholesterolemia
hsa-mir-374b,diabetic angiopathies
hsa-mir-525,"leukemia, b-cell"
hsa-mir-527,"leukemia, myelogenous, chronic, bcr-abl positive"
hsa-mir-16-2,cardiomegaly
hsa-mir-624,"carcinoma, mucoepidermoid"
hsa-mir-544b,precursor t-cell lymphoblastic leukemia-lymphoma
hsa-mir-142,neurilemmoma
hsa-mir-4449,biliary atresia
hsa-mir-668,liver neoplasms
hsa-mir-320a,uterine corpus serous adenocarcinoma
hsa-mir-601,evans syndrome
hsa-mir-671,uterine neoplasms
hsa-mir-450b,"mastocytosis, systemic"
hsa-mir-938,cataract
hsa-mir-4778,"hepatitis, alcoholic"
hsa-mir-148b,kidney osteogenic sarcoma
hsa-mir-3177,"leukemia, myeloid, acute"
hsa-mir-518d,"squamous cell carcinoma, sinonasal"
hsa-mir-1252,evans syndrome
hsa-mir-1292,medulloblastoma
hsa-mir-7705,methylmalonic acidemia
hsa-mir-200a,fragile x syndrome
hsa-mir-3196,"dermatitis, atopic"
hsa-mir-934,gastrointestinal stromal tumors
hsa-mir-5000,lymphedema
